city;year_month;areaParcelPaymentCash;salesPeriod;areaResidential
København K;2018-01;56509.43396226415;13.0;53.0
København K;2018-03;55814.85063636163;24.666666666666668;112.0
København K;2018-05;51854.16666666667;36.5;86.0
København K;2018-06;38819.444444444445;13.0;72.0
København K;2018-07;53017.62940735184;35.5;111.0
København K;2018-08;50104.439031577334;17.4;106.7
København K;2018-09;54622.7979004826;30.545454545454547;109.68181818181819
København K;2018-10;59075.51365575572;48.46666666666667;96.2
København K;2018-11;54832.61027765338;46.0;68.0
København K;2018-12;57433.5232668566;52.5;73.0
København N;2018-01;44990.655040482474;17.333333333333332;54.0
København N;2018-02;37602.138821630346;12.5;76.5
København N;2018-03;51851.851851851854;37.0;81.0
København N;2018-04;43565.37454241647;35.75;93.75
København N;2018-05;44753.08390585993;41.0;69.0
København N;2018-06;54738.09523809524;39.0;84.0
København N;2018-07;45202.27645917301;32.4;69.0
København N;2018-08;39995.583087136896;15.0;60.4
København N;2018-09;46903.22169603055;10.181818181818182;67.0
København N;2018-10;45451.89026755849;37.3;63.0
København N;2018-11;45421.7671991098;45.45454545454545;64.0909090909091
København N;2018-12;45223.79021934676;29.0;68.16666666666667
København V;2018-01;55197.36842105263;27.0;76.0
København V;2018-02;53086.41975308642;13.0;81.0
København V;2018-03;37071.42857142857;16.0;70.0
København V;2018-04;51142.64325575065;26.5;86.0
København V;2018-05;51619.30510814542;8.5;67.5
København V;2018-07;51645.750825082505;43.0;85.33333333333333
København V;2018-08;51822.60057379722;29.0;89.83333333333333
København V;2018-09;48107.51907505202;24.714285714285715;82.0
København V;2018-10;49551.59252354506;30.61111111111111;87.88888888888889
København V;2018-11;46604.13277964093;62.25;95.0
København V;2018-12;35000.0;96.0;70.0
København Ø;2018-01;45521.52507176157;29.333333333333332;67.33333333333333
København Ø;2018-02;46708.634914301125;34.333333333333336;77.66666666666667
København Ø;2018-03;40677.96610169492;9.0;118.0
København Ø;2018-04;47210.29683045447;23.5;78.0
København Ø;2018-05;46571.320836026716;8.0;109.66666666666667
København Ø;2018-06;48707.547970793006;31.0;114.5
København Ø;2018-07;43600.0;82.0;55.0
København Ø;2018-08;49731.31035631035;27.6;80.2
København Ø;2018-09;49809.86869553019;23.85;97.7
København Ø;2018-10;48140.882057243485;31.433333333333334;80.13333333333334
København Ø;2018-11;45788.659212872895;50.81481481481482;83.25925925925925
København Ø;2018-12;47931.32713378049;32.90909090909091;82.45454545454545
